frame,DetObj#,x,y,z,v,snr,noise
0,0,0.6946423053741455,3.098600149154663,0.0,-0.12429994344711304,298,665
1,0,-0.9083783626556396,4.05201530456543,0.0,0.12429994344711304,172,688
1,1,-0.9083783626556396,4.05201530456543,0.0,-0.12429994344711304,160,675
2,0,-1.038146734237671,4.020724773406982,0.0,0.12429994344711304,230,665
2,1,0.7938769459724426,3.074672222137451,0.0,-0.12429994344711304,310,652
3,0,-0.9083783626556396,4.05201530456543,0.0,0.12429994344711304,186,656
3,1,0.08396775275468826,2.6856558322906494,0.0,-0.12429994344711304,228,707
4,0,-0.9083783626556396,4.05201530456543,0.0,0.12429994344711304,185,663
4,1,0.16793550550937653,2.6817150115966797,0.0,-0.12429994344711304,150,712
5,0,0.0,2.9312379360198975,0.0,0.12429994344711304,244,648
5,1,-0.9083783626556396,4.05201530456543,0.0,0.12429994344711304,193,684
6,0,-1.038146734237671,4.020724773406982,0.0,0.12429994344711304,199,671
