frame,DetObj#,x,y,z,v,snr,noise
0,0,-2.8778040409088135,1.3424208164215088,0.0,0.24859988689422607,205,637
0,1,-2.0304927825927734,4.173386573791504,0.0,0.7457996606826782,284,659
0,2,-3.7709155082702637,2.705596446990967,0.0,0.7457996606826782,284,659
0,3,-7.549464702606201,7.302825450897217,0.0,-0.12429994344711304,182,663
0,4,9.847127914428711,3.6550989151000977,0.0,-0.12429994344711304,182,663
1,0,-2.8778040409088135,1.3424208164215088,0.0,0.24859988689422607,168,660
1,1,-1.78622305393219,4.017680644989014,0.0,0.8700996041297913,297,648
1,2,-3.435044288635254,2.744598388671875,0.0,0.8700996041297913,297,648
1,3,-7.549464702606201,7.302825450897217,0.0,-0.12429994344711304,186,653
1,4,10.175365447998047,2.605304718017578,0.0,-0.12429994344711304,186,653
2,0,-2.977038621902466,1.1050299406051636,0.0,0.12429994344711304,163,664
2,1,-2.610633611679077,3.537929058074951,0.0,-0.9943995475769043,292,656
2,2,-7.221227169036865,7.627552509307861,0.0,-0.12429994344711304,182,648
2,3,10.175365447998047,2.605304718017578,0.0,-0.12429994344711304,182,648
3,0,-1.6869884729385376,3.79447603225708,0.0,0.7457996606826782,302,659
3,1,-3.244208574295044,2.59212064743042,0.0,0.7457996606826782,302,659
3,2,-7.877702236175537,6.947480201721191,0.0,-0.12429994344711304,157,655
3,3,9.847127914428711,3.6550989151000977,0.0,-0.12429994344711304,157,655
4,0,-1.5572201013565063,3.849551200866699,0.0,0.7457996606826782,400,641
4,1,-3.1144402027130127,2.746678113937378,0.0,0.7457996606826782,400,641
5,0,-1.4656189680099487,3.6231071949005127,0.0,0.3728998303413391,296,653
5,1,-2.9312379360198975,2.585108995437622,0.0,0.3728998303413391,296,653
6,0,-1.4656189680099487,3.6231071949005127,0.0,0.6214997172355652,347,643
6,1,-2.9312379360198975,2.585108995437622,0.0,0.6214997172355652,347,643
6,2,-2.564833164215088,1.4190794229507446,0.0,-0.24859988689422607,161,645
6,3,-7.877702236175537,6.947480201721191,0.0,-0.12429994344711304,209,650
6,4,9.847127914428711,3.6550989151000977,0.0,-0.12429994344711304,209,650
7,0,-1.3740178346633911,3.396662950515747,0.0,0.8700996041297913,341,650
7,1,-2.7480356693267822,2.423539638519287,0.0,0.8700996041297913,341,650
7,2,-2.4732320308685303,1.573301911354065,0.0,-0.24859988689422607,228,637
8,0,-2.3816308975219727,1.7087976932525635,0.0,-0.24859988689422607,189,639
9,0,-1.282416582107544,3.1702187061309814,0.0,0.7457996606826782,343,643
9,1,-2.564833164215088,2.261970281600952,0.0,0.7457996606826782,343,643
9,2,-2.4732320308685303,1.573301911354065,0.0,-0.24859988689422607,257,640
10,0,-1.389284610748291,3.1248626708984375,0.0,0.6214997172355652,347,630
10,1,-2.671701192855835,2.134687662124634,0.0,0.6214997172355652,347,630
11,0,-1.2900500297546387,2.901658296585083,0.0,0.7457996606826782,348,663
11,1,-2.480865478515625,1.9822099208831787,0.0,0.7457996606826782,348,663
12,0,-1.2900500297546387,2.901658296585083,0.0,0.6214997172355652,306,646
12,1,-2.480865478515625,1.9822099208831787,0.0,0.6214997172355652,306,646
12,2,-1.389284610748291,2.8554751873016357,0.0,0.8700996041297913,349,635
12,3,-2.5801000595092773,1.8511979579925537,0.0,0.8700996041297913,349,635
13,0,-1.0992141962051392,2.71733021736145,0.0,0.8700996041297913,400,639
13,1,-2.1984283924102783,1.9388315677642822,0.0,0.8700996041297913,400,639
14,0,-1.0992141962051392,2.71733021736145,0.0,0.8700996041297913,364,633
14,1,-2.1984283924102783,1.9388315677642822,0.0,0.8700996041297913,364,633
14,2,-1.7404224872589111,2.358619213104248,0.0,-0.8700996041297913,277,649
15,0,-1.2595162391662598,2.3734817504882812,0.0,0.7457996606826782,346,681
15,1,-2.267129421234131,1.4421933889389038,0.0,0.7457996606826782,346,681
15,2,1.8854577541351318,4.240884780883789,0.0,-0.7457996606826782,166,676
15,3,-2.320563316345215,4.019333839416504,0.0,-0.7457996606826782,166,676
16,0,-1.3434840440750122,2.3269827365875244,0.0,0.6214997172355652,257,676
16,1,-2.267129421234131,1.4421933889389038,0.0,0.6214997172355652,257,676
17,0,-1.0686805248260498,2.196519136428833,0.0,0.6214997172355652,349,664
17,1,-1.9846923351287842,1.4239981174468994,0.0,0.6214997172355652,349,664
18,0,-1.7556893825531006,1.698331356048584,0.0,-0.9943995475769043,318,678
19,0,-1.7556893825531006,1.698331356048584,0.0,-0.8700996041297913,302,662
20,0,-1.717522144317627,1.3722991943359375,0.0,-0.8700996041297913,343,675
21,0,-1.717522144317627,1.3722991943359375,0.0,-0.9943995475769043,252,676
21,1,-1.526686429977417,1.219821572303772,0.0,-0.8700996041297913,224,681
22,0,-1.5877538919448853,1.139198660850525,0.0,-0.8700996041297913,281,667
23,0,-1.7098888158798218,0.9460530877113342,0.0,-0.49719977378845215,228,704
24,0,-1.7098888158798218,0.9460530877113342,0.0,-0.6214997172355652,284,679
25,0,-1.6030207872390747,0.5950159430503845,0.0,-0.49719977378845215,249,667
26,0,-1.6030207872390747,0.5950159430503845,0.0,-0.49719977378845215,261,668
27,0,-1.6030207872390747,0.5950159430503845,0.0,-0.6214997172355652,231,673
28,0,-1.6564548015594482,0.42411914467811584,0.0,-0.3728998303413391,219,666
