frame,DetObj#,x,y,z,v,snr,noise
0,0,5.396836757659912,24.07373809814453,0.0,0.0,152,873
0,1,6.091479301452637,31.91170310974121,0.0,0.0,153,796
0,2,10.442535400390625,35.63028335571289,0.0,0.0,169,778
0,3,11.67915153503418,35.50154495239258,0.0,0.0,160,767
0,4,10.20589828491211,45.52558135986328,0.0,0.0,200,702
0,5,10.259332656860352,45.76393508911133,0.0,0.0,185,705
0,6,17.8851318359375,48.858863830566406,0.0,0.0,165,702
0,7,17.969099044799805,49.0882453918457,0.0,0.0,165,700
0,8,-60.342281341552734,15.450067520141602,0.0,0.0,335,652
0,9,40.87702941894531,46.99961471557617,0.0,0.0,335,652
0,10,5.396836757659912,24.07373809814453,0.0,0.12429994344711304,154,817
0,11,6.091479301452637,31.91170310974121,0.0,0.12429994344711304,150,746
0,12,10.442535400390625,35.63028335571289,0.0,0.12429994344711304,158,735
0,13,10.20589828491211,45.52558135986328,0.0,0.12429994344711304,174,678
0,14,8.793713569641113,46.06801986694336,0.0,0.12429994344711304,163,681
0,15,38.930503845214844,48.62418746948242,0.0,0.12429994344711304,328,608
0,16,6.167813301086426,23.88783836364746,0.0,-0.12429994344711304,153,821
0,17,-3.083906650543213,24.47774887084961,0.0,-0.12429994344711304,153,821
0,18,11.602816581726074,35.269508361816406,0.0,-0.12429994344711304,164,730
0,19,12.847065925598145,35.095802307128906,0.0,-0.12429994344711304,152,720
0,20,11.663884162902832,45.17403030395508,0.0,-0.12429994344711304,177,669
0,21,10.259332656860352,45.76393508911133,0.0,-0.12429994344711304,155,674
0,22,-60.342281341552734,15.450067520141602,0.0,-0.12429994344711304,303,631
0,23,40.87702941894531,46.99961471557617,0.0,-0.12429994344711304,303,631
1,0,5.396836757659912,24.07373809814453,0.0,0.0,155,871
1,1,-3.083906650543213,24.47774887084961,0.0,0.0,155,871
1,2,6.091479301452637,31.91170310974121,0.0,0.0,154,796
1,3,10.442535400390625,35.63028335571289,0.0,0.0,163,786
1,4,11.67915153503418,35.50154495239258,0.0,0.0,157,773
1,5,10.20589828491211,45.52558135986328,0.0,0.0,178,723
1,6,10.259332656860352,45.76393508911133,0.0,0.0,166,721
1,7,19.51105308532715,48.23261642456055,0.0,0.0,155,716
1,8,19.60265350341797,48.45905685424805,0.0,0.0,176,704
1,9,19.694255828857422,48.68550109863281,0.0,0.0,165,694
1,10,7.725033283233643,61.3155517578125,0.0,0.0,157,637
1,11,-60.342281341552734,15.450067520141602,0.0,0.0,350,638
1,12,40.87702941894531,46.99961471557617,0.0,0.0,350,638
1,13,5.396836757659912,24.07373809814453,0.0,0.12429994344711304,154,820
1,14,6.091479301452637,31.91170310974121,0.0,0.12429994344711304,153,743
1,15,10.442535400390625,35.63028335571289,0.0,0.12429994344711304,157,739
1,16,10.511236190795898,35.86469268798828,0.0,0.12429994344711304,150,727
1,17,8.747913360595703,45.82808303833008,0.0,0.12429994344711304,157,693
1,18,38.930503845214844,48.62418746948242,0.0,0.12429994344711304,317,620
1,19,6.167813301086426,23.88783836364746,0.0,-0.12429994344711304,153,819
1,20,-3.083906650543213,24.47774887084961,0.0,-0.12429994344711304,153,819
1,21,11.602816581726074,35.269508361816406,0.0,-0.12429994344711304,154,744
1,22,17.969099044799805,49.0882453918457,0.0,-0.12429994344711304,157,672
1,23,-60.342281341552734,15.450067520141602,0.0,-0.12429994344711304,319,615
1,24,40.87702941894531,46.99961471557617,0.0,-0.12429994344711304,319,615
2,0,5.396836757659912,24.07373809814453,0.0,0.0,157,869
