frame,DetObj#,x,y,z,v,snr,noise
0,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,172,997
0,1,-1.8854577541351318,2.555171012878418,0.0,0.0,284,951
0,2,-5.770874500274658,8.482388496398926,0.0,0.0,150,735
1,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,178,992
1,1,-1.8854577541351318,2.555171012878418,0.0,0.0,291,944
1,2,-5.770874500274658,8.482388496398926,0.0,0.0,155,735
2,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,175,995
2,1,-1.8854577541351318,2.555171012878418,0.0,0.0,287,948
3,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,178,993
3,1,-1.8854577541351318,2.555171012878418,0.0,0.0,288,947
3,2,-5.770874500274658,8.482388496398926,0.0,0.0,151,734
4,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,176,996
4,1,-1.8854577541351318,2.555171012878418,0.0,0.0,284,951
5,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,169,1003
5,1,-1.8854577541351318,2.555171012878418,0.0,0.0,276,962
6,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,177,993
6,1,-1.8854577541351318,2.555171012878418,0.0,0.0,290,952
7,0,-1.8854577541351318,2.555171012878418,0.0,0.0,285,957
8,0,-1.526686429977417,1.9068306684494019,0.0,0.0,168,1005
8,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,266,972
9,0,-1.526686429977417,1.9068306684494019,0.0,0.0,172,1009
9,1,-1.8854577541351318,2.555171012878418,0.0,0.0,255,976
10,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,171,1008
10,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,261,981
10,2,2.564833164215088,5.271646022796631,0.0,0.0,170,851
11,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,168,1006
11,1,-1.8854577541351318,2.555171012878418,0.0,0.0,259,978
11,2,2.3816308975219727,5.356907367706299,0.0,0.0,162,858
12,0,-1.7862231731414795,2.6255011558532715,0.0,0.0,254,980
13,0,-1.8854577541351318,2.555171012878418,0.0,0.0,238,992
13,1,2.564833164215088,5.271646022796631,0.0,0.0,170,867
14,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,162,1009
14,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,236,991
14,2,2.3816308975219727,5.356907367706299,0.0,0.0,192,862
15,0,-1.526686429977417,1.9068306684494019,0.0,0.0,158,1018
15,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,236,996
15,2,2.3816308975219727,5.356907367706299,0.0,0.0,180,857
16,0,-1.8854577541351318,2.555171012878418,0.0,0.0,236,1004
16,1,2.564833164215088,5.271646022796631,0.0,0.0,192,861
17,0,-1.526686429977417,1.9068306684494019,0.0,0.0,166,1022
17,1,-1.8854577541351318,2.555171012878418,0.0,0.0,239,1005
17,2,2.564833164215088,5.271646022796631,0.0,0.0,202,858
18,0,-1.526686429977417,1.9068306684494019,0.0,0.0,153,1030
18,1,-1.8854577541351318,2.555171012878418,0.0,0.0,226,1007
18,2,2.564833164215088,5.271646022796631,0.0,0.0,202,856
19,0,-1.526686429977417,1.9068306684494019,0.0,0.0,158,1028
19,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,219,1013
19,2,2.564833164215088,5.271646022796631,0.0,0.0,208,864
20,0,-1.526686429977417,1.9068306684494019,0.0,0.0,159,1024
20,1,-1.8854577541351318,2.555171012878418,0.0,0.0,232,1008
20,2,2.3816308975219727,5.356907367706299,0.0,0.0,213,849
21,0,-1.526686429977417,1.9068306684494019,0.0,0.0,158,1015
21,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,253,995
21,2,2.3816308975219727,5.356907367706299,0.0,0.0,206,845
22,0,-1.8854577541351318,2.555171012878418,0.0,0.0,234,1005
22,1,-0.6946423053741455,3.098600149154663,0.0,0.0,234,1005
22,2,2.564833164215088,5.271646022796631,0.0,0.0,204,856
23,0,-1.7862231731414795,2.6255011558532715,0.0,0.0,221,1008
23,1,-0.6946423053741455,3.098600149154663,0.0,0.0,221,1008
23,2,2.1984283924102783,5.4346604347229,0.0,0.0,194,860
24,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,164,1001
24,1,-1.8854577541351318,2.555171012878418,0.0,0.0,270,968
24,2,2.290029525756836,5.661104679107666,0.0,0.0,153,860
25,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,152,1010
25,1,-1.8854577541351318,2.555171012878418,0.0,0.0,269,967
26,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,153,1004
26,1,-1.8854577541351318,2.555171012878418,0.0,0.0,267,963
27,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,167,996
27,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,261,976
27,2,2.564833164215088,5.271646022796631,0.0,0.0,178,861
28,0,-1.3740177154541016,2.0196163654327393,0.0,0.0,172,997
28,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,257,973
28,2,2.3816308975219727,5.356907367706299,0.0,0.0,177,855
29,0,-1.4503520727157593,1.9655160903930664,0.0,0.0,172,1001
29,1,-1.7862231731414795,2.6255011558532715,0.0,0.0,257,975
29,2,2.6335339546203613,4.962735176086426,0.0,0.0,158,876
