frame,DetObj#,x,y,z,v,snr,noise
0,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,418,674
0,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,418,674
0,2,-0.1823742389678955,0.8135191202163696,0.0,0.0,224,669
0,3,0.10421384871006012,0.827171802520752,0.0,0.0,224,669
0,4,0.2696533203125,0.9200662970542908,0.0,0.0,253,663
0,5,0.7816038131713867,0.68930983543396,0.0,0.0,202,708
0,6,0.42336875200271606,0.9522664546966553,0.0,0.0,202,708
0,7,-0.7855119109153748,8.341891288757324,0.0,0.0,180,670
0,8,-0.5314906239509583,8.487224578857422,0.0,0.0,218,678
1,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,420,672
1,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,420,672
1,2,-0.1823742389678955,0.8135191202163696,0.0,0.0,232,662
1,3,0.10421384871006012,0.827171802520752,0.0,0.0,232,662
1,4,0.2696533203125,0.9200662970542908,0.0,0.0,260,656
1,5,0.7816038131713867,0.68930983543396,0.0,0.0,207,703
1,6,0.42336875200271606,0.9522664546966553,0.0,0.0,207,703
1,7,-0.5236746072769165,8.362412452697754,0.0,0.0,193,689
1,8,-0.2657453119754791,8.499696731567383,0.0,0.0,192,687
2,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,417,675
2,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,417,675
2,2,-0.20842769742012024,0.8072369694709778,0.0,0.0,228,666
2,3,0.10421384871006012,0.827171802520752,0.0,0.0,228,666
2,4,0.299614816904068,0.910750150680542,0.0,0.0,254,662
2,5,0.7816038131713867,0.68930983543396,0.0,0.0,203,706
2,6,-0.7164701819419861,0.7567846775054932,0.0,0.0,203,706
2,7,-0.5236746072769165,8.362412452697754,0.0,0.0,206,674
2,8,-0.5314906239509583,8.487224578857422,0.0,0.0,192,677
3,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,422,670
3,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,422,670
3,2,-0.20842769742012024,0.8072369694709778,0.0,0.0,228,665
3,3,0.10421384871006012,0.827171802520752,0.0,0.0,228,665
3,4,0.2696533203125,0.9200662970542908,0.0,0.0,258,657
3,5,0.7816038131713867,0.68930983543396,0.0,0.0,208,701
3,6,0.42336875200271606,0.9522664546966553,0.0,0.0,208,701
3,7,-0.5314906239509583,8.487224578857422,0.0,0.0,211,669
4,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,419,673
4,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,419,673
4,2,-0.20842769742012024,0.8072369694709778,0.0,0.0,225,669
4,3,0.10421384871006012,0.827171802520752,0.0,0.0,225,669
4,4,0.2696533203125,0.9200662970542908,0.0,0.0,247,668
4,5,0.7816038131713867,0.68930983543396,0.0,0.0,195,712
4,6,-0.6839033365249634,0.7863388061523438,0.0,0.0,195,712
4,7,-0.5314906239509583,8.487224578857422,0.0,0.0,200,673
5,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,415,677
5,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,415,677
5,2,-0.20842769742012024,0.8072369694709778,0.0,0.0,220,672
5,3,0.07816039025783539,0.8300389051437378,0.0,0.0,220,672
5,4,0.2696533203125,0.9200662970542908,0.0,0.0,247,667
5,5,0.7816038131713867,0.68930983543396,0.0,0.0,200,709
5,6,-0.6839033365249634,0.7863388061523438,0.0,0.0,200,709
5,7,-0.5314906239509583,8.487224578857422,0.0,0.0,171,694
6,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,420,671
6,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,420,671
6,2,-0.20842769742012024,0.8072369694709778,0.0,0.0,225,667
6,3,0.10421384871006012,0.827171802520752,0.0,0.0,225,667
6,4,0.2696533203125,0.9200662970542908,0.0,0.0,252,662
6,5,-0.0898844450712204,0.9545447826385498,0.0,0.0,252,662
6,6,0.7816038131713867,0.68930983543396,0.0,0.0,205,704
6,7,-0.7164701819419861,0.7567846775054932,0.0,0.0,205,704
6,8,-0.5288853049278259,8.445621490478516,0.0,0.0,188,681
7,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,416,675
7,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,416,675
7,2,-0.1823742389678955,0.8135191202163696,0.0,0.0,223,670
7,3,0.10421384871006012,0.827171802520752,0.0,0.0,223,670
7,4,0.2696533203125,0.9200662970542908,0.0,0.0,253,661
7,5,0.7816038131713867,0.68930983543396,0.0,0.0,208,702
7,6,-0.7164701819419861,0.7567846775054932,0.0,0.0,208,702
7,7,-0.7894198894500732,8.383393287658691,0.0,0.0,181,676
8,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,416,675
8,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,416,675
8,2,-0.20842769742012024,0.8072369694709778,0.0,0.0,226,667
8,3,0.13026730716228485,0.8234707713127136,0.0,0.0,226,667
8,4,0.2696533203125,0.9200662970542908,0.0,0.0,263,653
8,5,0.7816038131713867,0.68930983543396,0.0,0.0,215,698
8,6,0.42336875200271606,0.9522664546966553,0.0,0.0,215,698
8,7,-0.5236746072769165,8.362412452697754,0.0,0.0,208,684
9,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,430,661
9,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,430,661
9,2,0.13026730716228485,0.8234707713127136,0.0,0.0,237,656
9,3,-0.20842769742012024,0.8072369694709778,0.0,0.0,237,656
9,4,0.299614816904068,0.910750150680542,0.0,0.0,262,655
9,5,0.7816038131713867,0.68930983543396,0.0,0.0,210,702
9,6,-0.7164701819419861,0.7567846775054932,0.0,0.0,210,702
9,7,-0.5236746072769165,8.362412452697754,0.0,0.0,195,682
9,8,-0.801144003868103,8.507899284362793,0.0,0.0,169,684
10,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,421,671
10,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,421,671
10,2,-0.20842769742012024,0.8072369694709778,0.0,0.0,231,663
10,3,0.10421384871006012,0.827171802520752,0.0,0.0,231,663
10,4,0.2696533203125,0.9200662970542908,0.0,0.0,257,659
10,5,0.7816038131713867,0.68930983543396,0.0,0.0,204,707
10,6,-0.7164701819419861,0.7567846775054932,0.0,0.0,204,707
10,7,-0.5314906239509583,8.487224578857422,0.0,0.0,196,675
11,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,425,667
11,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,425,667
11,2,-0.1823742389678955,0.8135191202163696,0.0,0.0,236,659
11,3,0.13026730716228485,0.8234707713127136,0.0,0.0,236,659
11,4,0.299614816904068,0.910750150680542,0.0,0.0,260,654
11,5,0.7816038131713867,0.68930983543396,0.0,0.0,208,701
11,6,0.42336875200271606,0.9522664546966553,0.0,0.0,208,701
11,7,-0.5236746072769165,8.362412452697754,0.0,0.0,184,684
11,8,-0.5314906239509583,8.487224578857422,0.0,0.0,162,695
12,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,423,669
12,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,423,669
12,2,-0.20842769742012024,0.8072369694709778,0.0,0.0,233,660
12,3,0.10421384871006012,0.827171802520752,0.0,0.0,233,660
12,4,0.2696533203125,0.9200662970542908,0.0,0.0,260,655
12,5,0.7816038131713867,0.68930983543396,0.0,0.0,209,701
12,6,-0.7164701819419861,0.7567846775054932,0.0,0.0,209,701
12,7,-0.5236746072769165,8.362412452697754,0.0,0.0,209,678
12,8,0.0,8.503849983215332,0.0,0.0,156,687
13,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,420,671
13,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,420,671
13,2,-0.20842769742012024,0.8072369694709778,0.0,0.0,229,665
13,3,0.13026730716228485,0.8234707713127136,0.0,0.0,229,665
13,4,0.2696533203125,0.9200662970542908,0.0,0.0,246,666
13,5,0.7816038131713867,0.68930983543396,0.0,0.0,200,710
13,6,-0.7164701819419861,0.7567846775054932,0.0,0.0,200,710
13,7,-0.7855119109153748,8.341891288757324,0.0,0.0,181,671
14,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,421,671
14,1,-0.06773900240659714,0.04860210418701172,0.0,0.0,421,671
14,2,-0.20842769742012024,0.8072369694709778,0.0,0.0,225,668
14,3,0.10421384871006012,0.827171802520752,0.0,0.0,225,668
14,4,0.2696533203125,0.9200662970542908,0.0,0.0,262,655
14,5,0.7816038131713867,0.68930983543396,0.0,0.0,211,698
14,6,0.42336875200271606,0.9522664546966553,0.0,0.0,211,698
15,0,-0.07294969260692596,0.040361855179071426,0.0,0.0,420,671
